sample_name,d18Op,species,aquarium
NY-PLU-A,20.84,Carcharhinus plumbeus,TRUE
NY-PLU-B,20.64,Carcharhinus plumbeus,TRUE
NY-PLU-C,20.16,Carcharhinus plumbeus,TRUE
NY-PLU-D,20.12,Carcharhinus plumbeus,TRUE
NY-PLU-E,20.88,Carcharhinus plumbeus,TRUE
NY-PLU-F,20.05,Carcharhinus plumbeus,TRUE
NY-PLU-G,20.19,Carcharhinus plumbeus,TRUE
NY-PLU-H,20.73,Carcharhinus plumbeus,TRUE
NY-PLU-I,20.13,Carcharhinus plumbeus,TRUE
NY-PLU-J,20.89,Carcharhinus plumbeus,TRUE
NY-PLU-K,21.29,Carcharhinus plumbeus,TRUE
NY-PLU-L,20.16,Carcharhinus plumbeus,TRUE
NY-PLU-M,21.26,Carcharhinus plumbeus,TRUE
NY-PLU-N,21.87,Carcharhinus plumbeus,TRUE
NY-PLU-O,22.79,Carcharhinus plumbeus,TRUE
NY-TAR-A,21.18,Carcharias taurus,TRUE
NY-TAR-B,21,Carcharias taurus,TRUE
NY-TAR-C,21.61,Carcharias taurus,TRUE
NY-TAR-D,21.22,Carcharias taurus,TRUE
NY-TAR-E,22.17,Carcharias taurus,TRUE
NY-TAR-F,21,Carcharias taurus,TRUE
NY-TAR-H,21.66,Carcharias taurus,TRUE
NY-TAR-I,21.19,Carcharias taurus,TRUE
NY-TAR-K,21.48,Carcharias taurus,TRUE
NY-TAR-L,21.96,Carcharias taurus,TRUE
NY-TAR-M,21.41,Carcharias taurus,TRUE
NY-TAR-N,20.78,Carcharias taurus,TRUE
NY-TAR-O,21.97,Carcharias taurus,TRUE
ST2012-087,24.06,Carcharias taurus,TRUE